,Unnamed: 0,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
10,10,서울 관악구 00동,0, 37 개,  개,00 대,6000 만원,340,0,17000,-선택사항- ,-선택사항-     ,6000,17000,37,340,0,33,17000,340,123,2,2.5,3.6,12444,12444,12444,1159,1037,854,8352,6888,4692,696,574,391,49,40,27
11,11,서울 강남구 역삼동,303.14, 37 개, 18 개,00 대,5000 만원,638,0,23000,-선택사항- ,-선택사항-     ,5000,23000,37,638,0,48,23000,638,123,2.1,2.6,4,18108,18108,18108,1687,1509,1243,11112,8976,5784,926,748,482,48,39,25
12,12,서울 종로구 관철동,288.58, 37 개, 37 개,00 대,11000 만원,594,0,30000,-선택사항- ,-선택사항-     ,11000,30000,37,594,0,42,30000,594,123,3.3,4.1,6.8,15840,15840,15840,1476,1320,1087,9108,7236,4440,759,603,370,30,24,14
13,13,서울 서초구 00동,0, 27 개,  개,00 대, 만원,200,0,3000,-선택사항- ,-선택사항-     ,0,3000,27,200,0,45,3000,200,90,0.3,0.3,0.4,12384,12384,12384,1154,1032,850,10368,8904,6720,864,742,560,345,296,224
14,14,서울 강남구 00동,303.14, 35 개, 18 개,00 대,5000 만원,638, 포함 ,25000,-선택사항- ,-선택사항-     ,5000,25000,35,638,0,48,25000,638,116,2.5,3.1,4.9,17136,17136,17136,1596,1428,1176,10104,8088,5064,842,674,422,40,32,20
15,15,서울 송파구 잠실본동,468.99, 40 개, 40 개,00 대,6천 만원,735, 무 ,4억,-선택사항- ,-선택사항-     ,6000,40000,40,735,0,42,40000,735,133,4.6,6,10.8,17136,17136,17136,1596,1428,1176,8736,6720,3696,728,560,308,21,16,9
16,16,서울 중구 청계천로,358.02, 32 개, 32 개,00 대,5천 만원,558, 무 ,3억2천,-선택사항- ,-선택사항-     ,5000,32000,32,558,0,41,32000,558,106,4.6,5.9,10.5,13380,13380,13380,1246,1115,918,6984,5412,3048,582,451,254,21,16,9
17,17,서울 종로구 00동,166.65,  개,  개,00 대,4천 만원,250, 사용량에따라 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,0,250,0,42,22000,250,100,2.2,2.5,3.4,12852,12852,12852,1197,1071,882,10164,8652,6384,847,721,532,46,39,29
18,18,서울 영등포구 대방동,151.9, 40 개, 25 개,2 대,2천5백 만원,330, 없음 ,1억9천5백,-선택사항- ,-선택사항-     ,2500,19500,40,330,0,38,19500,330,133,1.7,2,2.7,15504,15504,15504,1444,1292,1064,11772,9948,7212,981,829,601,60,51,36
19,19,서울 성북구 00동,193.2, 35 개, 6 개,00 대,4천 만원,230, 없음 ,7천,-선택사항- ,-선택사항-     ,4000,7000,35,230,0,37,7000,230,116,0.7,0.8,1,13200,13200,13200,1230,1100,906,10608,9048,6720,884,754,560,151,129,96
