,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리
773,충남,충남 천안시 서북구 충무로 143-14,1호선 동암역,동암광장고시원,빈방없음,['60개'],월세  20~24,Y,N,공용,N
774,인천,인천 부평구 동암광장로8번길 6,대전1호선 갈마역,사임당고시텔,빈방없음,['24개'],월세  28~33,Y,45,여성전용,N
775,대전,대전 서구 둔산로 8,인천2호선 검단사거리역,스카이고시텔,빈방없음,['32개'],월세  25~30,Y,5,공용,N
776,인천,인천 서구 검단로459번길 10,인천1호선 경인교대입구역,현대원룸텔,1개,['30개'],월세  20~35,Y,N,공용,N
777,인천,인천 계양구 계양대로 139번길 4,인천1호선 인천터미널역,산소방고시텔,빈방없음,['41개'],월세  20~25,Y,10,공용,N
778,인천,인천 남동구 성말로32번길 6-1,1호선 동인천역,밀레니엄고시텔,빈방없음,['28개'],월세  25~30,Y,6,공용,N
779,인천,인천 중구 우현로62번길 16,4호선 명동역,명동코아텔,1개,['41개'],월세  30~40,Y,N,공용,Y
780,서울,서울 중구 퇴계로20길 36,인천1호선 부평시장역,한성고시원,34개,['60개'],월세  16~27,Y,N,공용,Y
781,인천,인천 부평구 대정로 32,2호선 신당역,한스빌리지,빈방없음,['20개'],월세  40~50,Y,N,공용,N
782,서울,서울 중구 퇴계로88가길 14,1호선 부평역,이e고시텔 부평역점,빈방없음,['41개'],월세  20~25,Y,N,공용,N
783,인천,인천 부평구 경인로 951,4호선 회현역,클린원룸텔,빈방없음,['30개'],월세  40~50,Y,N,공용,Y
784,서울,서울 중구 퇴계로12길 39-20,인천1호선 갈산역,코쿤하우스 갈산역점,빈방없음,['48개'],월세  27~35,Y,N,공용,N
785,인천,인천 부평구 부평대로 292,2호선 을지로4가역,힐리빙텔 동대문역사문화공원역점,빈방없음,['46개'],월세  30~45,Y,N,공용,N
786,서울,서울 중구 퇴계로51길 20,N,강화고시텔,빈방없음,['38개'],월세  32~50,Y,50,공용,N
787,인천,인천 강화군 강화읍 부조고개길 90,3호선 충무로역,마이홈리빙텔 충무로점,빈방없음,['33개'],월세  30~40,Y,N,공용,N
788,서울,서울 중구 충무로 20,인천1호선 간석오거리역,참편한고시텔,빈방없음,['40개'],월세  25~35,Y,N,공용,N
789,인천,인천 남동구 남동대로916번길 75,3호선 충무로역,그린하우스 충무로점,1개,['36개'],월세  32~55,Y,N,여성전용,N
790,서울,서울 중구 퇴계로 198,N,하늘정원원룸텔,1개,['29개'],월세  30~40,Y,2,공용,N
791,인천,인천 계양구 장제로 731,8호선 몽촌토성역,힐리빙텔 잠실역점,빈방없음,['37개'],월세  33~45,Y,N,공용,Y
792,서울,서울 송파구 오금로11길 29-7,인천1호선 간석오거리역,참존리빙텔,빈방없음,['49개'],월세  20~30,Y,N,공용,N
793,인천,인천 남동구 남동대로921번길 15,인천1호선 예술회관역,현대싱글오피스,빈방없음,['25개'],월세  25~35,Y,N,공용,N
794,인천,인천 남동구 성말로13번길 15,N,옥상달빛고시원,빈방없음,['25개'],월세  21~28,Y,5,여성전용,N
795,충북,충북 청주시 서원구 내수동로108번길 40,N,중문고시텔,빈방없음,['30개'],월세  14~19,Y,N,공용,Y
796,충북,충북 청주시 청원구 수암로 98-23,수인선 인천논현역,에코와이드원룸텔,10개,['39개'],월세  33~48,Y,4,공용,N
797,인천,인천 남동구 논고개로 101,수인선 인하대역,마마스홈텔인하대점,1개,['50개'],월세  32~38,Y,N,공용,N
798,인천,인천 미추홀구 경인남길30번길 65,N,엔비NB고시텔,빈방없음,['36개'],월세  38~38,Y,10,공용,N
799,울산,울산 남구 신정로 65-1,인천2호선 시민공원역,에스엠SM리빙,빈방없음,['24개'],월세  30~35,Y,5,공용,N
800,인천,인천 미추홀구 미추홀대로719번길 7-22,N,아모라고시텔,빈방없음,['25개'],월세  35~40,Y,20,공용,N
801,울산,울산 남구 화합로134번길 5-16,N,에이플러스 레지던스 고시텔,빈방없음,['40개'],월세  25~30,Y,N,공용,Y
802,충북,충북 청주시 서원구 모충로 44,N,호계고시텔,빈방없음,['28개'],월세  32~40,Y,5,공용,N
803,울산,울산 북구 동대중앙로 9,수인선 호구포역,에코펠리스 원룸텔,빈방없음,['58개'],월세  35~60,Y,10,공용,N
804,인천,인천 남동구 논현로26번길 34,N,빛나라고시원,빈방없음,['45개'],월세  52~52,Y,20,공용,N
805,울산,울산 울주군 삼동면 은현작동로 440-75,N,가인하우스 성남점,1개,['28개'],월세  30~35,Y,3,공용,Y
806,울산,울산 중구 중앙길 90-1,N,강남스타일고시텔 삼산점,1개,['30개'],월세  25~30,Y,2,공용,N
807,울산,울산 남구 삼산중로 7-1,8호선 모란역,로얄고시원,1개,['43개'],월세  19~42,Y,N,공용,N
808,경기,경기 성남시 중원구 둔촌대로83번길 11,8호선 신흥역,싱글하우스 신흥점,1개,['36개'],월세  35~50,Y,N,공용,N
809,경기,경기 성남시 수정구 시민로142번길 4,9호선 송파나루역,토마토원룸텔 잠실역점,1개,['45개'],월세  35~50,Y,2,공용,Y
810,서울,서울 송파구 오금로13길 14,4호선 노원역,이노리빙텔 노원역점,1개,['39개'],월세  20~42,Y,N,공용,N
811,서울,서울 노원구 상계로104,2호선 을지로3가역,갤럭시원룸텔,빈방없음,['39개'],월세  40~60,Y,N,공용,Y
812,서울,서울 중구 을지로 103-1,8호선 모란역,우리고시원,빈방없음,['34개'],월세  19~27,Y,2,공용,N
813,경기,경기 성남시 수정구 성남대로1180번길 6,4호선 명동역,해피홈리빙텔,빈방없음,['60개'],월세  30~50,Y,2,공용,Y
814,서울,서울 중구 퇴계로20길 40,7호선 면목역,베스트빌,빈방없음,['20개'],월세  30~40,Y,N,공용,N
815,서울,서울 중랑구 면목로 452 ,2호선 신당역,꿈엔들 여성전용고시텔,빈방없음,['25개'],월세  42~42,Y,N,여성전용,N
816,서울,서울 중구 퇴계로87길 15-17,분당선 태평역,로웰하우스,1개,['36개'],월세  33~42,Y,1,공용,N
817,경기,경기 성남시 수정구 수정로 86,8호선 모란역,오투하우스 모란점,빈방없음,['40개'],월세  28~38,Y,N,공용,Y
818,경기,경기 성남시 중원구 광명로 7,8호선 모란역,레지던스포유,빈방없음,['33개'],월세  39~70,Y,4,공용,N
819,경기,경기 성남시 중원구 광명로 8,8호선 신흥역,아이비하우스 신흥역점,빈방없음,['30개'],월세  35~57,Y,N,공용,N
820,경기,경기 성남시 수정구 산성대로 273,신분당선 양재시민의숲역,코지웰빙텔  양재역점,1개,['27개'],월세  38~40,Y,2,공용,N
821,서울,서울 서초구 강남대로6길 23,N,로데오고시텔,빈방없음,['60개'],월세  20~30,Y,2,공용,Y
822,경기,경기 수원시 팔달구 행궁로 87,N,삼성리빙텔 수원점,빈방없음,['63개'],월세  22~32,Y,5,공용,N
823,경기,경기 수원시 팔달구 아주로47번길 32,분당선 수원시청역,두리웰빙고시텔 수원점,1개,['71개'],월세  22~40,Y,N,공용,N
