연번,상호,업종,법정동 주소
151,파인하우스,고시원업,서울특별시 종로구 종로3가 13-4
152,청계하우스,고시원업,서울특별시 종로구 예지동 0
153,아이게스트하우스,고시원업,서울특별시 종로구 명륜1가 33-72
154,코아리빙텔,고시원업,서울특별시 종로구 창신동 582-3
155,탑고시텔,고시원업,서울특별시 종로구 명륜2가 34
156,대학로하우스,고시원업,서울특별시 종로구 명륜2가 208-5
157,으뜸고시원,고시원업,서울특별시 종로구 명륜3가 1-204
158,그랑빌고시원,고시원업,서울특별시 종로구 숭인동 190-5
159,미래고시원,고시원업,서울특별시 종로구 명륜3가 82-3
160,올리브하우스,고시원업,서울특별시 종로구 필운동 194
161,풀하우스,고시원업,서울특별시 종로구 종로5가 231-5
162,국일고시원,고시원업,서울특별시 종로구 관수동 149-1
163,생명나무고시텔,고시원업,서울특별시 종로구 명륜2가 211
164,보보레지던스 동대문점,고시원업,서울특별시 종로구 창신동 460-1
165,e-편한고시원(연암고시원),고시원업,서울특별시 종로구 교남동 47-2
166,선명파빌리온(구.선명고시원),고시원업,서울특별시 종로구 명륜2가 158
167,상명고시원(별관),고시원업,서울특별시 종로구 홍지동 60-2
168,대우고시원,고시원업,서울특별시 종로구 명륜2가 160-2
169,소호리빙텔,고시원업,서울특별시 종로구 홍지동 51-4
170,상명고시원,고시원업,서울특별시 종로구 홍지동 60-2
171,샘고시텔,고시원업,서울특별시 종로구 숭인동 1375
172,행복한고시원,고시원업,서울특별시 종로구 숭인동 1414
173,청운고시원,고시원업,서울특별시 종로구 숭인동 178-156
174,엘리트레지던스,고시원업,서울특별시 종로구 관수동 4-2
175,코코레지던스종로2가점,고시원업,서울특별시 종로구 종로2가 39
176,베스트리빙텔,고시원업,서울특별시 종로구 관철동 12-3
177,솔리빙텔,고시원업,서울특별시 종로구 관철동 12-18
178,신세대고시텔,고시원업,서울특별시 종로구 종로3가 12-1
179,풀하우스,고시원업,서울특별시 종로구 명륜1가 16-20
180,동대문고시원,고시원업,서울특별시 종로구 창신동 651-16
181,epl하우스,고시원업,서울특별시 종로구 연지동 35
182,코아리빙텔,고시원업,서울특별시 종로구 명륜1가 83-5
183,심쿵하우스 원룸텔,고시원업,서울특별시 종로구 명륜3가 1-218
184,미리내,고시원업,서울특별시 종로구 혜화동 70-5
185,다솔하우스,고시원업,서울특별시 종로구 관수동 4-4
186,"노블레지던스(성균관점,53번지)",고시원업,서울특별시 종로구 명륜3가 53
187,"노블레지던스(성균관점,52번지)",고시원업,서울특별시 종로구 명륜3가 53
188,명동스테이 레지던스,고시원업,서울특별시 중구 남산동3가 31-1
189,소리엘하우스,고시원업,서울특별시 중구 북창동 93-44
190,소리엘,고시원업,서울특별시 중구 북창동 93-44
191,HANA ROOM,고시원업,서울특별시 중구 장충동2가 186-135
192,CJ고시원,고시원업,서울특별시 중구 장충동1가 50-15
193,BJ텔,고시원업,서울특별시 중구 신당동 420-15
194,게스트하우스,고시원업,서울특별시 중구 충무로3가 25-10
195,힐하우스,고시원업,서울특별시 중구 광희동2가 277
196,휴먼빌 원룸텔,고시원업,서울특별시 중구 장충동2가 186-221
197,휠하우스,고시원업,서울특별시 중구 회현동1가 133-1
198,화인리빙텔,고시원업,서울특별시 중구 충무로3가 59-11
199,화성고시텔,고시원업,서울특별시 중구 신당동 340-61
200,올골찬 고시원,고시원업,서울특별시 중구 회현동1가 147-16
201,홈리빙텔,고시원업,서울특별시 중구 흥인동 2-23
202,허브레지던스,고시원업,서울특별시 중구 무학동 22
203,허브레지던스,고시원업,서울특별시 중구 회현동1가 130-1
204,해피하우스 원룸텔 충무로점,고시원업,서울특별시 중구 저동2가 46-8
205,해피하우스,고시원업,서울특별시 중구 장충동2가 189-27
206,해피홈리빙텔,고시원업,서울특별시 중구 남산동2가 27-9
207,오마이원룸텔,고시원업,서울특별시 중구 을지로5가 272-17
208,약수고시원,고시원업,서울특별시 중구 신당동 372-430
209,엘린하우스,고시원업,서울특별시 중구 주자동 49-1
210,대원고시원,고시원업,서울특별시 중구 북창동 93-36
211,대영고시원,고시원업,서울특별시 중구 신당동 412-3
212,꿈엔들,고시원업,서울특별시 중구 황학동 717
213,아이준레지던스,고시원업,서울특별시 중구 황학동 394
214,아이원룸텔,고시원업,서울특별시 중구 흥인동 118
215,아이엘고시원,고시원업,서울특별시 중구 입정동 201-2
216,아이리빙텔,고시원업,서울특별시 중구 흥인동 118
217,소호원룸텔 충정로점(구.노블학사),고시원업,서울특별시 중구 중림동 62
218,노블레지던스(을지로점),고시원업,서울특별시 중구 을지로3가 302-2
219,씨틸하우스,고시원업,서울특별시 중구 초동 158-5
220,그린하우스,고시원업,서울특별시 중구 필동2가 4-7
221,신화고시원,고시원업,서울특별시 중구 장충동2가 186-25
222,삼성리빙텔,고시원업,서울특별시 중구 태평로2가 69-6
223,케이팝하우스,고시원업,서울특별시 중구 남창동 211
