,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
2162,서울 중구 00동,396 , 55 개, 0 개,00 대,1억 만원, 600 , 별도 ,2억,-선택사항- ,-선택사항-     ,10000,20000,55,600,0
2163,서울 송파구 00동,360 , 36 개, 36 개,00 대,5000 만원, 540 , 00 ,2억7000,-선택사항- ,-선택사항-     ,5000,27000,36,540,0
2164,서울 강동구 길동,240.3 , 28 개, 17 개,00 대,3000 만원, 264 , 00 ,1억5천,-선택사항- ,-선택사항-     ,3000,15000,28,264,0
2165,서울 강동구 성내동,465.1 , 35 개, 35 개,00 대,5000 만원, 605 , 00 ,3억,-선택사항- ,-선택사항-     ,5000,30000,35,605,0
2166,서울 강남구 00동,100 , 33 개,  개,00 대,7000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     ,7000,24000,33,600,0
2167,서울 서대문구 00동,120 , 42 개,  개,00 대,5000 만원, 450 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,42,450,0
2168,서울 서초구 00동,400 , 38 개, 39 개,2 대,1억 만원, 623 , 00 ,1억8천,-선택사항- ,-선택사항-     ,10000,18000,38,623,0
2169,서울 서대문구 00동,238.78 , 36 개,  개,00 대,3600 만원, 450 , 00 ,20000,-선택사항- ,-선택사항-     ,3600,20000,36,450,0
2170,서울 송파구 00동,210 , 23 개,  개,00 대,3000 만원, 450 , 00 ,2억1천,-선택사항- ,-선택사항-     ,3000,21000,23,450,0
2171,서울 송파구 00동,80평 ,  개,  개,00 대,2000 만원, 295 , 00 ,1억,-선택사항- ,-선택사항-     ,2000,10000,0,295,0
2172,서울 강동구 00동,. , 35 개,  개,00 대,8000 만원, . , 00 ,2억2천,-선택사항- ,-선택사항-     ,8000,22000,35,0,0
2173,서울 강동구 00동,. , 28 개,  개,00 대,.. 만원, 270 , 00 ,1억6천,-선택사항- ,-선택사항-     ,0,16000,28,270,0
2174,서울 서초구 00동,. , 34 개,  개,00 대,5000 만원, 390 , . ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,34,390,0
2175,서울 서초구 00동,. , 40 개, 24 개,00 대,6000 만원, 540 , . ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,540,0
2176,서울 송파구 00동,. , 37 개,  개,00 대,6000 만원, 400 , . ,2억,-선택사항- ,-선택사항-     ,6000,20000,37,400,0
2177,서울 송파구 00동,. , . 개,  개,00 대,6000 만원, 350 , . ,2억1000,-선택사항- ,-선택사항-     ,6000,21000,0,350,0
2178,서울 강남구 00동,. ,  개,  개,00 대,6000 만원, 460 , . ,2억1000만,-선택사항- ,-선택사항-     ,6000,21000,0,460,0
2179,서울 마포구 00동,. , 50 개, 33 개,1 대,1억5천 만원, . , . ,2억2천,-선택사항- ,-선택사항-     ,15000,22000,50,0,0
2180,서울 관악구 00,302.95 , 37 개, 10 개,00 대,8000 만원, 363 , 00 ,1억7천,-선택사항- ,-선택사항-     ,8000,17000,37,363,0
2181,서울 관악구 00동,299 , 47 개,  개,00 대,3500 만원, 350 , 00 ,1억6500,-선택사항- ,-선택사항-     ,3500,16500,47,350,0
2182,서울 동작구 00동,323 , 38 개,  개,00 대,5천 만원, 460 , 00 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,38,460,0
2183,서울 동작구 00동,312 , 35 개,  개,00 대,6천 만원, 520 , 00 ,2억5천,-선택사항- ,-선택사항-     ,6000,25000,35,520,0
2184,서울 동작구 00동,217 , 33 개,  개,00 대, 만원, 200 , 00 ,6천,-선택사항- ,-선택사항-     ,0,6000,33,200,0
2185,서울 중구 을지로,. ,  개,  개,00 대,350 만원, 3350 , 00 ,13000,-선택사항- ,-선택사항-     ,350,13000,0,3350,0
2186,서울 강북구 00,330 , 40 개, 3 개,1 대,2500 만원, 150 , 00 ,6천,-선택사항- ,-선택사항-     ,2500,6000,40,150,0
2187,서울 동작구 00,365.04 , 39 개, 30 개,1 대,6000 만원, 500 , 00 ,2억2천,-선택사항- ,-선택사항-     ,6000,22000,39,500,0
2188,서울 동작구 00,264.77 , 30 개, 30 개,1 대,4000 만원, 330 , 00 ,3억,-선택사항- ,-선택사항-     ,4000,30000,30,330,0
2189,서울 관악구 00,288.93 , 50 개, 4 개,1 대,4000 만원, 340 , 40 ,1억1천,-선택사항- ,-선택사항-     ,4000,11000,50,340,40
2190,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     ,4000,35000,45,450,20
2191,서울 강남구 00동,약150평 ,  개,  개,00 대,7000 만원, 770 , 00 ,37000,-선택사항- ,-선택사항-     ,7000,37000,0,770,0
2192,서울 송파구 00동,198 ,  개,  개,00 대,7000 만원, 360 , 00 ,9500,-선택사항- ,-선택사항-     ,7000,9500,0,360,0
2193,서울 금천구 00동,137.86 , 36 개, 36 개,00 대,4000 만원, 423 , 문의 ,39000,-선택사항- ,-선택사항-     ,4000,39000,36,423,0
2194,서울 영등포구 대림동,310 , 34 개, 28 개,00 대,6000 만원, 360 , 00 ,1억6천,2호선 대림역,-선택사항-     ,6000,16000,34,360,0
2195,서울 종로구 종로2가,330 , 33 개, 33 개,1 대,6000 만원, 360 , 36 ,3억2천,1호선 종각역,-선택사항-     ,6000,32000,33,360,36
2196,서울 동작구 상도역,390 , 34 개, 34 개,1 대,5천 만원, 270 , 30 ,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,34,270,30
2197,서울 동작구 00동,140 ,  개,  개,00 대,9000 만원, 500 , 00 ,35000,-선택사항- ,-선택사항-     ,9000,35000,0,500,0
2198,서울 종로구 00동,490 , 50 개,  개,00 대, 만원, 650 , 30 ,3억3천,-선택사항- ,-선택사항-     ,0,33000,50,650,30
2199,서울 강동구 길동,240.3 , 28 개, 17 개,X 대,3천 만원, 264 , 없음 ,1억7천,-선택사항- ,-선택사항-     ,3000,17000,28,264,0
2200,서울 송파구 방이동,531.96 , 43 개, 43 개,00 대,8000 만원, 930 , 00 ,5억,-선택사항- ,-선택사항-     ,8000,50000,43,930,0
2201,서울 노원구 00동,397.11 , 67 개, 3 개,3 대,7000 만원, 450 , 없음 ,12000,-선택사항- ,-선택사항-     ,7000,12000,67,450,0
2202,서울 강동구 명일동,399.58 , 31 개, 31 개,00 대,1억 만원, 830 , 00 ,2억,-선택사항- ,-선택사항-     ,10000,20000,31,830,0
2203,서울 동작구 00동,381.76 , 54 개, 29 개,없음 대,9000 만원, 515 , 없음 ,36000,-선택사항- ,-선택사항-     ,9000,36000,54,515,0
2204,서울 동대문구 00동,340 , 38 개, 38 개,00 대,5000 만원, 500 , 00 ,3억2천만,1호선 회기역,-선택사항-     ,5000,32000,38,500,0
2205,서울 영등포구 00동,268.8 , 31 개, 24 개,없음 대,4000 만원, 280 , 35 ,22000,-선택사항- ,-선택사항-     ,4000,22000,31,280,35
2206,서울 관악구 00동,308.1 , 상담 개,  개,00 대,6000 만원, 430 , 00 ,22000,-선택사항- ,-선택사항-     ,6000,22000,0,430,0
2207,서울 송파구 00동,180 , 25 개, 2 개,없음 대,3000 만원, 204 , 없음 ,6000,-선택사항- ,-선택사항-     ,3000,6000,25,204,0
2208,서울 서초구 00동,331.38 , 35 개, 35 개,없음 대,6000 만원, 630 , 없음 ,38000,-선택사항- ,-선택사항-     ,6000,38000,35,630,0
2209,서울 광진구 중곡동,247.84 , 41 개, 4 개,00 대,4000 만원, 250 , 00 ,2억4천,-선택사항- ,-선택사항-     ,4000,24000,41,250,0
2210,서울 강동구 성내동,422.18 , 54 개, 17 개,4 대,8000 만원, 500 , 00 ,1억9천,-선택사항- ,-선택사항-     ,8000,19000,54,500,0
2211,서울 서대문구 00동,120 , 42 개,  개,00 대,5000 만원, 450 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,42,450,0
2212,서울 강남구 00동,100 , 33 개,  개,00 대,7000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     ,7000,24000,33,600,0
2213,서울 동작구 00동,330 , 32 개, 32 개,00 대,4천 만원, 290 , 00 ,2억8천,-선택사항- ,-선택사항-     ,4000,28000,32,290,0
2214,서울 구로구 00동,350 , 36 개, 36 개,00 대,4천 만원, 390 , 30 ,3억9천,-선택사항- ,-선택사항-     ,4000,39000,36,390,30
2215,서울 구로구 00동,320 , 29 개, 29 개,00 대,4천 만원, 300 , 00 ,2억6천,-선택사항- ,-선택사항-     ,4000,26000,29,300,0
2216,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
2217,서울 영등포구 00동,315 , 40 개, 20 개,00 대,5천 만원, 370 , 30 ,1억5천,-선택사항- ,-선택사항-     ,5000,15000,40,370,30
2218,서울 강서구 00동,160ㅇ평 , 50 개, 50 개,노 대,2억 만원, 1000 , 노 ,2억,5호선 개화산역,-선택사항-     ,20000,20000,50,1000,0
2219,서울 동대문구 00동,추천 ,  개,  개,00 대,7000 만원, 410 , 00 ,2억8000,-선택사항- ,-선택사항-     ,7000,28000,0,410,0
2220,서울 관악구 00동,330 , 36 개, 25 개,00 대,4000 만원, 450 , 00 ,19500,-선택사항- ,-선택사항-     ,4000,19500,36,450,0
2221,서울 성동구 한양대,430 , 40 개, 40 개,1 대,4천 만원, 470 , 66 ,합3억4천,-선택사항- ,-선택사항-     ,4000,34000,40,470,66
2222,서울 구로구 구로동,440 , 42 개, 42 개,1 대,5천 만원, 520 , 30 ,합3억2천,-선택사항- ,-선택사항-     ,5000,32000,42,520,30
2223,서울 구로구 구로동,240 , 20 개, 20 개,1 대,2천 만원, 160 , 20 ,합7천,-선택사항- ,-선택사항-     ,2000,7000,20,160,20
2224,서울 동작구 노량진동,440 , 36 개, 36 개,1 대,1.5억 만원, 470 , 30 ,권리금1.8억,-선택사항- ,-선택사항-     ,0,18000,36,470,30
2225,서울 강북구 수유동,413.9 , 63 개,  개,00 대,1억 만원, 440 , 00 ,1억5천만,4호선 수유역,-선택사항-     ,10000,15000,63,440,0
2226,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     ,4000,35000,45,450,20
