,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
737,서울 강남구 00동,322.56 , 48 개,  개,00 대,8000 만원, 1100 , 없음 ,47000,-선택사항- ,-선택사항-     ,8000,47000,48,1100,0
738,서울 강서구 00동,199.02 , 50 개,  개,00 대,8000 만원, 390 , 110만원 ,17000,-선택사항- ,-선택사항-     ,8000,17000,50,390,110
739,서울 동작구 00동,423.14 , 53 개,  개,00 대,4000 만원, 500 , 없음 ,21000,-선택사항- ,-선택사항-     ,4000,21000,53,500,0
740,서울 종로구 00동,300 , 30 개, 30 개,00 대,3천 만원, 220 , 20 ,합3억,-선택사항- ,-선택사항-     ,3000,30000,30,220,20
741,서울 종로구 00동,90 , 28 개, 4 개,노 대,4000 만원, 220 ,  노 ,13500,4호선 ,-선택사항-     ,4000,13500,28,220,0
742,서울 서초구 00동,320 , 27 개, 27 개,00 대,8000 만원, 540 , 00 ,2억4천,-선택사항- ,-선택사항-     ,8000,24000,27,540,0
743,서울 영등포구 00동,420 , 35 개, 35 개,00 대,8000 만원, 550 , 00 ,3억3천,-선택사항- ,-선택사항-     ,8000,33000,35,550,0
744,서울 중구 00동,281.55 ,  개,  개,00 대,5000 만원, 443 , 00 ,29000,-선택사항- ,-선택사항-     ,5000,29000,0,443,0
745,서울 강북구 미아동,380.88 , 50 개, 8 개,X 대,5천 만원, 308 , 63만원 ,1억2천,-선택사항- ,-선택사항-     ,5000,12000,50,308,63
746,서울 금천구 00동,135 ,  개,  개,00 대,2000 만원, 272 , 00 ,14000,-선택사항- ,-선택사항-     ,2000,14000,0,272,0
747,서울 서대문구 00동,250.25 , 25 개,  개,00 대,1500 만원, 180 , 00 ,8,-선택사항- ,-선택사항-     ,1500,80000,25,180,0
748,서울 강남구 00동,330 , 35 개, 20 개,00 대,6000 만원, 480 , 00 ,2억1천,-선택사항- ,-선택사항-     ,6000,21000,35,480,0
749,서울 서초구 서초동,203.7 , 40 개, 26 개,2 대,6천 만원, 575 , 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0
750,서울 관악구 00동,220 , 36 개,  개,00 대,5000 만원, 330 , 00 ,18000,-선택사항- ,-선택사항-     ,5000,18000,36,330,0
751,서울 종로구 을지로3가,123.71 , 40 개, 40 개,X 대,7천 만원, 600 , 포함 ,3억7천,-선택사항- ,-선택사항-     ,7000,37000,40,600,0
752,서울 관악구 00동,330 , 38 개, 0 개,00 대,7000 만원, 320 , 00 ,1억5500,-선택사항- ,-선택사항-     ,7000,15500,38,320,0
753,서울 강남구 00동,396 , 40 개, 0 개,00 대,6000 만원, 520 , 00 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,520,0
754,서울 종로구 00동,100 , 36 개,  개,00 대,8000 만원, 450 , 00 ,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0
755,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
756,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
757,서울 강서구 화곡동,189.12 , 35 개, 6 개,00 대,3000 만원, 290 , 00 ,10000,-선택사항- ,-선택사항-     ,3000,10000,35,290,0
758,서울 강동구 00동,370 , 57 개,  개,00 대,5000 만원, 330 , 00 ,14000,-선택사항- ,-선택사항-     ,5000,14000,57,330,0
759,서울 강서구 등촌동,398.04 , 60 개, 8 개,00 대,8000 만원, 390 , 110 ,16000,-선택사항- ,-선택사항-     ,8000,16000,60,390,110
760,서울 금천구 시흥동,371.44 , 44 개, 7 개,00 대,5000 만원, 400 , 70 ,11000,-선택사항- ,-선택사항-     ,5000,11000,44,400,70
761,서울 영등포구 도림동,246.04 , 45 개, 7 개,00 대,3000 만원, 260 , 00 ,9000,-선택사항- ,-선택사항-     ,3000,9000,45,260,0
762,서울 영등포구 당산동1가,249.9 , 40 개, 7 개,00 대,3000 만원, 240 , 10 ,10000,-선택사항- ,-선택사항-     ,3000,10000,40,240,10
763,서울 서대문구 00동,450 , 41 개, 43 개,3 대,4000 만원, 450 , 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,41,450,0
764,서울 중구 00동,130평 ,  개,  개,00 대,3000 만원, 420 , 00 ,25000,-선택사항- ,-선택사항-     ,3000,25000,0,420,0
765,서울 영등포구 00동,80평 ,  개,  개,00 대,7000 만원, 380 , 00 ,16000,-선택사항- ,-선택사항-     ,7000,16000,0,380,0
766,서울 강서구 00동,100평 ,  개,  개,00 대,9000 만원, 473 , 00 ,17000,-선택사항- ,-선택사항-     ,9000,17000,0,473,0
767,서울 강남구 00동,. , 29 개, . 개,. 대,. 만원, . , . ,2억,2호선 강남역,-선택사항-     ,0,20000,29,0,0
768,서울 영등포구 00동,80평 ,  개,  개,00 대,3000 만원, 240 , 00 ,11000,-선택사항- ,-선택사항-     ,3000,11000,0,240,0
769,서울 마포구 00동,200평 ,  개,  개,00 대,7,['000 만원'],None,46,-선택사항- ,-선택사항-     ,7,46000,0,0,0
770,서울 금천구 00동,330 , 47 개,  개,00 대,5천 만원, 440 , 20 ,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20
771,서울 동작구 00동,180 , 24 개,  개,00 대,5000 만원, 250 , 00 ,14000,-선택사항- ,-선택사항-     ,5000,14000,24,250,0
772,서울 강서구 00동,440 , 40 개,  개,00 대,5000 만원, 330 , 00 ,14000,-선택사항- ,-선택사항-     ,5000,14000,40,330,0
773,서울 강동구 00동,240 , 31 개,  개,00 대,3000 만원, 200 , 00 ,8000,-선택사항- ,-선택사항-     ,3000,8000,31,200,0
774,서울 강동구 00동,250 , 30 개,  개,00 대,3000 만원, 350 , 00 ,16000,-선택사항- ,-선택사항-     ,3000,16000,30,350,0
775,서울 강동구 00동,260 , 32 개,  개,00 대,3000 만원, 350 , 00 ,15000,-선택사항- ,-선택사항-     ,3000,15000,32,350,0
776,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
777,서울 구로구 00동,340 , 40 개, 27 개,1 대,4000 만원, 380 , 00 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0
778,서울 종로구 00동,400 , 55 개, 42 개,1 대,9000 만원, 580 , 50 ,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
779,서울 동작구 00동,334 , 31 개, 31 개,00 대,4000 만원, 392 , 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,31,392,0
780,서울 영등포구 00동,157.7 , 40 개, 20 개,00 대,5000 만원, 400 , 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,40,400,0
781,서울 동작구 00동,278 , 38 개, 38 개,00 대,5000 만원, 460 , 없음 ,2억,-선택사항- ,-선택사항-     ,5000,20000,38,460,0
782,서울 양천구 00동,390 , 40 개,  개,00 대,4000 만원, 370 , 00 ,14000,-선택사항- ,-선택사항-     ,4000,14000,40,370,0
783,서울 종로구 00동,360 , 38 개,  개,00 대,6000 만원, 420 , 00 ,25000,-선택사항- ,-선택사항-     ,6000,25000,38,420,0
784,서울 종로구 영등포동,500 , 50 개, 원50 개,1 대,* 만원, 690 , 50 ,합3억1천,-선택사항- ,-선택사항-     ,0,31000,50,690,50
785,서울 영등포구 영등포동,370 , 40 개, 원13 개,1 대,2500 만원, 190 , 20 ,합1억7천,-선택사항- ,-선택사항-     ,2500,17000,40,190,20
786,서울 강남구 서초동,390 , 40 개, 원25 개,1 대,8천 만원, 490 , 40 ,합1억9500,-선택사항- ,-선택사항-     ,8000,19500,40,490,40
787,서울 광진구 중곡동,330 , 34 개, 원17 개,1 대,5천 만원, 360 , 30 ,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,34,360,30
788,서울 송파구 00동,313 , 30 개, 30 개,00 대,5천 만원, 370 , 30 ,3억3천,-선택사항- ,-선택사항-     ,5000,33000,30,370,30
789,서울 강북구 00동,244 ,  개,  개,00 대,3000 만원, 346 , 00 ,1억4000,-선택사항- ,-선택사항-     ,3000,14000,0,346,0
790,서울 중구 00동,280.35 , 28 개, 0 개,00 대,3000 만원, 275 , 00 ,26000,-선택사항- ,-선택사항-     ,3000,26000,28,275,0
791,서울 중랑구 00동,150 ,  개,  개,00 대, 만원, 190 , 5만원 ,7500,-선택사항- ,-선택사항-     ,0,7500,0,190,5
792,서울 동작구 00동,217 ,  개,  개,00 대,3000 만원, 200 , 없음 ,3000,-선택사항- ,-선택사항-     ,3000,3000,0,200,0
793,서울 중구 00동,224.85 , 35 개, 0 개,16 대,5000 만원, 443 , 00 ,19000,-선택사항- ,-선택사항-     ,5000,19000,35,443,0
794,서울 노원구 00동,280 ,  개,  개,00 대,5000 만원, 300 , 10 ,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10
795,서울 광진구 00동,290 ,  개, 29 개,1 대,4000 만원, 400 , 00 ,18000,-선택사항- ,-선택사항-     ,4000,18000,0,400,0
796,서울 동대문구 00동,290 ,  개,  개,00 대,3000 만원, 210 , 00 ,8000,-선택사항- ,-선택사항-     ,3000,8000,0,210,0
797,서울 서초구 양재동,360 , 35 개, 16 개,없음 대,3200 만원, 390 , 별도 ,25000,-선택사항- ,-선택사항-     ,3200,25000,35,390,0
798,서울 종로구 00동,288.58 , 36 개,  개,00 대,11000 만원, 594 , 00 ,32000,-선택사항- ,-선택사항-     ,11000,32000,36,594,0
799,서울 구로구 구로동,630 , 95 개, 0 개,1 대,8천 만원, 550 , 30 ,권리금3천,-선택사항- ,-선택사항-     ,8000,3000,95,550,30
800,서울 마포구 00동,352.52 , 36 개,  개,없음 대,5000 만원, 500 , 사용량에 따라 ,26000,-선택사항- ,-선택사항-     ,5000,26000,36,500,0
801,서울 마포구 00동,292.97 , 38 개,  개,00 대,9000 만원, 277 , 150만원 ,27000,-선택사항- ,-선택사항-     ,9000,27000,38,277,150
802,서울 중구 00동,280 , 36 개,  개,00 대,6000 만원, 400 , 00 ,18000,-선택사항- ,-선택사항-     ,6000,18000,36,400,0
803,서울 광진구 00동,293. , 43 개,  개,4 대,6000 만원, 400 , 00 ,19000,-선택사항- ,-선택사항-     ,6000,19000,43,400,0
804,서울 종로구 숭인동,235.14 , 20 개, 20 개,X 대,6천 만원, 330 , 40만원 ,1억6천5백,-선택사항- ,-선택사항-     ,6000,16500,20,330,40
805,서울 종로구 00동,280 , 35 개,  개,1 대,3000 만원, 280 , 00 ,85000,-선택사항- ,-선택사항-     ,3000,85000,35,280,0
806,서울 성북구 삼선동,102.35 , 35 개, 5 개,X 대,4천 만원, 250 , 없음 ,8천,-선택사항- ,-선택사항-     ,4000,8000,35,250,0
807,서울 성동구 구의동,440 , 42 개, 42 개,1 대,4천 만원, 475 , 60 ,합3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,475,60
808,서울 성북구 00동,430 ,  개,  개,00 대, 만원, 450 , 00 ,합,-선택사항- ,-선택사항-     ,0,0,0,450,0
809,서울 서대문구 00동,199.68 , 31 개,  개,00 대,2000 만원, 250 , 00 ,11000,-선택사항- ,-선택사항-     ,2000,11000,31,250,0
810,서울 동작구 노량진동,122.5 , 39 개, 39 개,X 대,5천 만원, 460 , 없음 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,39,460,0
811,서울 마포구 합정동,360 , 40 개, 17 개,1 대,5천 만원, 390 , 20 ,합1억7천,-선택사항- ,-선택사항-     ,5000,17000,40,390,20
812,서울 종로구 종각,600 , 93 개, 43 개,00 대,2억 만원, 1350 , 00 ,권리금,-선택사항- ,-선택사항-     ,20000,0,93,1350,0
813,서울 송파구 00동,320 , 36 개, 22 개,00 대,6000 만원, 495 , 00 ,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,495,0
814,서울 송파구 00동,320 , 36 개, 22 개,00 대,6천 만원, 495 , 00 ,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,495,0
815,서울 강남구 00동,143.08 ,  개,  개,00 대,6000 만원, 450 , 00 ,23000,-선택사항- ,-선택사항-     ,6000,23000,0,450,0
816,서울 강남구 00동,247.24 , 상담 개,  개,00 대,7000 만원, 770 , 없음 ,38000,-선택사항- ,-선택사항-     ,7000,38000,0,770,0
817,서울 중구 00동,360 , 34 개, 0 개,00 대,5000 만원, 430 , 00 ,2억8000,-선택사항- ,-선택사항-     ,5000,28000,34,430,0
818,서울 강동구 00동,429 , 43 개, 43 개,2 대,4000 만원, 520 , 00 ,3억3000,-선택사항- ,-선택사항-     ,4000,33000,43,520,0
819,서울 동대문구 청량리동,143.64 , 22 개, 3 개,X 대,2천 만원, 165 , 없음 ,5천,-선택사항- ,-선택사항-     ,2000,5000,22,165,0
820,서울 구로구 오류동,261.8 , 44 개, 6 개,00 대,3000 만원, 300 , 5 ,15000,-선택사항- ,-선택사항-     ,3000,15000,44,300,5
821,서울 광진구 00동,300 , 34 개,  개,3 대,5000 만원, 200 , 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,34,200,0
822,서울 구로구 오류동,335.2 , 38 개, 6 개,00 대,5000 만원, 297 , 60 ,13000,-선택사항- ,-선택사항-     ,5000,13000,38,297,60
823,서울 영등포구 신길동,380 , 57 개, 7 개,00 대,5000 만원, 385 , 00 ,12000,-선택사항- ,-선택사항-     ,5000,12000,57,385,0
824,서울 동작구 00동,100 ,  개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,0,510,0
825,서울 강동구 00동,120 ,  개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,0,550,0
826,서울 종로구 00동,100 , 36 개,  개,00 대,8000 만원, 450 , 00 ,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0
827,서울 영등포구 대림동,348.94 , 34 개, 6 개,00 대,7000 만원, 360 , 15 ,15000,-선택사항- ,-선택사항-     ,7000,15000,34,360,15
828,서울 동대문구 동대문동,340 , 23 개, 23 개,1 대,5000 만원, 300 , 00 ,2억3천,-선택사항- ,-선택사항-     ,5000,23000,23,300,0
829,서울 강서구 강서구,105평 ,  개,  개,1 대, 만원, 290 , 00 ,1억5천,-선택사항- ,-선택사항-     ,0,15000,0,290,0
830,서울 동작구 동작구,132평 , 46 개,  개,00 대,9천 만원, 320 , X ,2억8천,-선택사항- ,-선택사항-     ,9000,28000,46,320,0
831,서울 동작구 동작구,132평 , 46 개,  개,00 대,9천 만원, 320 , X ,2억8천,-선택사항- ,-선택사항-     ,9000,28000,46,320,0
832,서울 송파구 00동,496.97 , 43 개,  개,00 대, 만원, 700 , 00 ,51000,-선택사항- ,-선택사항-     ,0,51000,43,700,0
833,서울 관악구 신림동,224.42 , 34 개, 6 개,00 대,3000 만원, 317 , 00 ,6000,-선택사항- ,-선택사항-     ,3000,6000,34,317,0
834,서울 관악구 봉천동,192.92 , 33 개, 6 개,00 대,2000 만원, 195 , 00 ,7000,-선택사항- ,-선택사항-     ,2000,7000,33,195,0
835,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
836,서울 송파구 00동,300 , 30 개, 30 개,00 대,4천 만원, 400 , 50 ,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,400,50
837,서울 서대문구 00동,285 , 44 개, 4 개,00 대,7000 만원, 310 , 00 ,시설비1200,-선택사항- ,-선택사항-     ,7000,1200,44,310,0
838,서울 종로구 00동,250 ,  개,  개,00 대,8000 만원, 520 , 00 ,1억8000,-선택사항- ,-선택사항-     ,8000,18000,0,520,0
839,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
840,서울 종로구 00동,400 , 55 개, 42 개,1 대,9000 만원, 580 , 50 ,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
841,서울 관악구 00동,330 , 36 개, 25 개,00 대,4000 만원, 450 , 00 ,2억,-선택사항- ,-선택사항-     ,4000,20000,36,450,0
842,서울 광진구 중곡동,330 , 34 개, 원17 개,1 대,5천 만원, 360 , 30 ,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,34,360,30
843,서울 성동구 구의동,440 , 42 개, 원42 개,1 대,4천 만원, 475 , 60 ,합3억4천,-선택사항- ,-선택사항-     ,4000,34000,42,475,60
844,서울 동작구 동작동,440 , 24 개, 큰24 개,1 대,8천 만원, 280 , 20 ,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,20
845,서울 강남구 강남구,168평 , 51 개,  개,00 대,1억 만원, 950 , 00 ,3억9천,-선택사항- ,-선택사항-     ,10000,39000,51,950,0
846,서울 강서구 강서구,110평 ,  개,  개,00 대,2천5백 만원, 290 , 00 ,1억5천,-선택사항- ,-선택사항-     ,2500,15000,0,290,0
847,서울 구로구 구로동,360 , 40 개, 원26 개,1 대,4천 만원, 350 , 30 ,합1억8천,-선택사항- ,-선택사항-     ,4000,18000,40,350,30
848,서울 송파구 송파구,126평 ,  개,  개,00 대,5천 만원, 380 , 00 ,3억3천,-선택사항- ,-선택사항-     ,5000,33000,0,380,0
849,서울 마포구 합정동,360 , 40 개, 17 개,1 대,5천 만원, 380 , 20 ,합1억7천,-선택사항- ,-선택사항-     ,5000,17000,40,380,20
850,서울 강남구 서초구,410 , 28 개, 큰28 개,1 대,7천 만원, 510 , 40 ,합2억2천,-선택사항- ,-선택사항-     ,7000,22000,28,510,40
851,서울 강남구 강남구,182평 ,  개,  개,00 대,1억 만원, 880 , 00 ,4억3천,-선택사항- ,-선택사항-     ,10000,43000,0,880,0
852,서울 강남구 서초동,390 , 40 개, 원25 개,1 대,6천 만원, 480 , 30 ,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,480,30
853,서울 영등포구 00동,223.4 , 39 개, 15 개,00 대,9000 만원, 470 , 사용량에따라 ,1억7천,-선택사항- ,-선택사항-     ,9000,17000,39,470,0
854,서울 동대문구 회기동,340 , 31 개, 22 개,0대 대,5000 만원, 332 , 별도 ,18000,-선택사항- ,-선택사항-     ,5000,18000,31,332,0
855,서울 서초구 00동,404.22 , 50 개, 32 개,6 대,8500 만원, 520 , 46 ,2억2천,-선택사항- ,-선택사항-     ,8500,22000,50,520,46
856,서울 송파구 00동,320 , 35 개, 22 개,00 대,6000 만원, 520 , 00 ,2억4천,-선택사항- ,-선택사항-     ,6000,24000,35,520,0
857,서울 구로구 00동,320 , 35 개, 29 개,00 대,8000 만원, 400 , 00 ,1억7천,-선택사항- ,-선택사항-     ,8000,17000,35,400,0
858,서울 서대문구 00동,430 , 40 개, 40 개,00 대,1억2천 만원, 600 , 00 ,3억5천,-선택사항- ,-선택사항-     ,12000,35000,40,600,0
859,서울 송파구 00동,320 , 35 개, 22 개,00 대,6000 만원, 520 , 00 ,2억4천,-선택사항- ,-선택사항-     ,6000,24000,35,520,0
860,서울 광진구 00동,244.15 , 34 개, 6 개,00 대,3천 만원, 270만 , 2만 ,6천,-선택사항- ,-선택사항-     ,3000,6000,34,0,2
861,서울 강동구 길동,240.3 , 28 개, 17 개,X 대,3천 만원, 264 , 없음 ,1억7천,-선택사항- ,-선택사항-     ,3000,17000,28,264,0
862,서울 송파구 00동,420 , 41 개, 41 개,00 대,6000 만원, 700 , 00 ,3억5천,-선택사항- ,-선택사항-     ,6000,35000,41,700,0
863,서울 종로구 명륜동,650 , 49 개, 49 개,없음 대,6000 만원, 650 , 별도 ,35000,-선택사항- ,-선택사항-     ,6000,35000,49,650,0
864,서울 동작구 노량진동,360 , 55 개, 30 개,없음 대,9000 만원, 500 , 별도 ,37000,-선택사항- ,-선택사항-     ,9000,37000,55,500,0
865,서울 서초구 양재동,350 , 35 개, 16 개,없음 대,3200 만원, 392 , 별도 ,25000,-선택사항- ,-선택사항-     ,3200,25000,35,392,0
866,서울 송파구 풍납동,155.26 , 37 개, 4 개,X 대,3천5백 만원, 350 , 없음 ,1억5천5백,-선택사항- ,-선택사항-     ,3500,15500,37,350,0
867,서울 성동구 용답동,154 , 32 개, 32 개,1 대,4천 만원, 280 , 20만원 ,2억7천,-선택사항- ,-선택사항-     ,4000,27000,32,280,20
868,서울 송파구 송파동,262.86 , 31 개, 31 개,00 대,4천 만원, 388부별 , 38 ,2억4천,-선택사항- ,-선택사항-     ,4000,24000,31,0,38
869,서울 영등포구 영등포동,194.19 , 39 개, 38 개,1 대,1억 만원, 665 , 포함 ,1억7천,-선택사항- ,-선택사항-     ,10000,17000,39,665,0
870,서울 도봉구 00동,70평 ,  개,  개,00 대,3000 만원, 200 , 00 ,18000,-선택사항- ,-선택사항-     ,3000,18000,0,200,0
871,서울 강남구 00동,130평 , 40↑ 개,  개,00 대, 만원, 680 , 00 ,3억5천,-선택사항- ,-선택사항-     ,0,35000,40,680,0
872,서울 도봉구 00동,90평 ,  개,  개,00 대,7000 만원, 300 , 00 ,13000,-선택사항- ,-선택사항-     ,7000,13000,0,300,0
873,서울 성북구 00동,290 , 47 개,  개,00 대,3000 만원, 150 , 00 ,13000,-선택사항- ,-선택사항-     ,3000,13000,47,150,0
874,서울 성북구 00동,840 , 37 개,  개,00 대,2000 만원, 320 , 00 ,14000,-선택사항- ,-선택사항-     ,2000,14000,37,320,0
875,서울 동대문구 00동,85평 ,  개,  개,00 대,2000 만원, 275 , 00 ,15000,-선택사항- ,-선택사항-     ,2000,15000,0,275,0
876,서울 동대문구 00동,120평 ,  개,  개,00 대,5000 만원, 500 , 00 ,31000,-선택사항- ,-선택사항-     ,5000,31000,0,500,0
877,서울 동대문구 회기동,104.31 , 40 개, 37 개,X 대,5천 만원, 440 ,None,3억2천,-선택사항- ,-선택사항-     ,5000,32000,40,440,0
878,서울 서대문구 00동,240 , 36 개,  개,00 대,4000 만원, 450 , 00 ,21000,-선택사항- ,-선택사항-     ,4000,21000,36,450,0
879,서울 동대문구 00동,110평 ,  개,  개,00 대,6500 만원, 505 , 25 ,7500,-선택사항- ,-선택사항-     ,6500,7500,0,505,25
880,서울 송파구 00동,299 , 31 개,  개,00 대,5천 만원, 400 , 00 ,2억3천,-선택사항- ,-선택사항-     ,5000,23000,31,400,0
881,서울 송파구 00동,295 , 31 개,  개,00 대,4천 만원, 450 , 00 ,2억3천,-선택사항- ,-선택사항-     ,4000,23000,31,450,0
882,서울 강남구 00동,211.8 , 35 개, 16 개,없음 대,3000 만원, 440 , 440 ,25000,-선택사항- ,-선택사항-     ,3000,25000,35,440,440
883,서울 마포구 00동,300.36 ,  개,  개,00 대,5000 만원, 500 , 없음 ,26000,-선택사항- ,-선택사항-     ,5000,26000,0,500,0
884,서울 마포구 00동,300.36 ,  개,  개,00 대,5000 만원, 500 , 없음 ,26000,-선택사항- ,-선택사항-     ,5000,26000,0,500,0
885,서울 강동구 00동,250 ,  개,  개,00 대,3000 만원, 270 , 00 ,16000,-선택사항- ,-선택사항-     ,3000,16000,0,270,0
886,서울 강동구 00동,370 , 58 개,  개,00 대, 만원, 330 , 00 ,13000,-선택사항- ,-선택사항-     ,0,13000,58,330,0
887,서울 관악구 신림동,227.11 , 35 개, 14 개,00 대,5000 만원, 330 , 40 ,17000,-선택사항- ,-선택사항-     ,5000,17000,35,330,40
888,서울 서초구 00동,302.4 , 34 개, 27 개,없음 대,5000 만원, 422 , 포함 ,24000,-선택사항- ,-선택사항-     ,5000,24000,34,422,0
889,서울 종로구 00동,100 , 36 개,  개,00 대,8000 만원, 450 , 00 ,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0
890,서울 서초구 00동,404.23 ,  개,  개,00 대,8500 만원, 520 , 46만 ,24000,-선택사항- ,-선택사항-     ,8500,24000,0,520,46
891,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
892,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
893,서울 용산구 00동,110 , 47 개,  개,00 대,9000 만원, 440 , 00 ,13000,-선택사항- ,-선택사항-     ,9000,13000,47,440,0
894,서울 동작구 노량진동,220.83 , 23 개, 22 개,00 대,5000 만원, 440 , 00 ,18000,-선택사항- ,-선택사항-     ,5000,18000,23,440,0
895,서울 종로구 종로3가,244.43 , 27 개,  개,00 대,3000 만원, 200 , 00 ,1억1000,-선택사항- ,-선택사항-     ,3000,11000,27,200,0
896,서울 강남구 00동,246 , 28 개,  개,00 대,5500 만원, 450 , 7만 ,15000,-선택사항- ,-선택사항-     ,5500,15000,28,450,7
897,서울 강남구 00동,245 ,  개,  개,00 대,5000 만원, 460 , 업음 ,26000,-선택사항- ,-선택사항-     ,5000,26000,0,460,0
898,서울 강남구 00동,247.24 ,  개,  개,00 대,7000 만원, 770 , 없음 ,38000,-선택사항- ,-선택사항-     ,7000,38000,0,770,0
899,서울 양천구 00동,429 , 40 개,  개,00 대,1억 만원, 460 , 00 ,,-선택사항- ,-선택사항-     ,10000,0,40,460,0
900,서울 종로구 00동,360 , 41 개, 0 개,00 대,5000 만원, 310 , 00 ,,-선택사항- ,-선택사항-     ,5000,0,41,310,0
901,서울 성동구 00동,376 , 42 개, 42 개,00 대,4천 만원, 470 , 60 ,3억4천,-선택사항- ,-선택사항-     ,4000,34000,42,470,60
902,서울 강남구 00동,246 , 28 개, 14 개,없음 대,5500 만원, 480 , 7 ,16000,-선택사항- ,-선택사항-     ,5500,16000,28,480,7
903,서울 서초구 00동,302.4 , 34 개, 27 개,없음 대,5000 만원, 422 , 포함 ,24000,-선택사항- ,-선택사항-     ,5000,24000,34,422,0
904,서울 서초구 00동,302.4 , 34 개, 27 개,없음 대,5000 만원, 422 , 포함 ,24000,-선택사항- ,-선택사항-     ,5000,24000,34,422,0
905,서울 서초구 00동,302.4 , 34 개, 27 개,없음 대,5000 만원, 422 , 포함 ,24000,-선택사항- ,-선택사항-     ,5000,24000,34,422,0
906,서울 서초구 00동,* ,  개,  개,00 대, 만원, 680 , 00 ,30000,-선택사항- ,-선택사항-     ,0,30000,0,680,0
907,서울 송파구 00동,* ,  개,  개,00 대, 만원, 470 , 00 ,22000,-선택사항- ,-선택사항-     ,0,22000,0,470,0
908,서울 성동구 00동,* ,  개,  개,00 대, 만원, 370 , 00 ,12000,-선택사항- ,-선택사항-     ,0,12000,0,370,0
909,서울 관악구 00동,* ,  개,  개,00 대, 만원, 330 , 00 ,17000,-선택사항- ,-선택사항-     ,0,17000,0,330,0
910,서울 용산구 00동,239.52 , 52 개,  개,8 대,5000 만원, 700 , 00 ,14500,-선택사항- ,-선택사항-     ,5000,14500,52,700,0
911,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,시,-선택사항- ,-선택사항-     ,7000,0,35,390,0
912,서울 구로구 00동,340 , 40 개, 27 개,1 대,4000 만원, 380 , 00 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0
913,서울 종로구 00동,400 , 55 개, 42 개,1 대,9000 만원, 580 , 50 ,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
914,서울 강동구 00동,330 , 28 개,  개,00 대,3000 만원, 264 , 00 ,16000,-선택사항- ,-선택사항-     ,3000,16000,28,264,0
915,서울 강동구 00동,330 , 57 개,  개,00 대,5000 만원, 330 , 00 ,14000,-선택사항- ,-선택사항-     ,5000,14000,57,330,0
916,서울 종로구 00동,298 ,  개,  개,00 대,4000 만원, 250 , 00 ,2억2000,-선택사항- ,-선택사항-     ,4000,22000,0,250,0
